;context_annotations;created_at;edit_history_tweet_ids;id;text
302;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 10:47:31+00:00;[1622547531476484096];1622547531476484096;@CarrefourFrance Je suis une grande fan d'Astérix #AsterixEtObelixLEmpireDuMilieu
303;"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10046026135', 'name': 'Quotidien', 'description': ""Un décryptage de l'actualité et du monde qui nous entoure : politique nationale et internationale, musique, cinéma, culture, médias, questions de société ou sport.""}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}]";2023-02-06 10:46:50+00:00;[1622547359384076288];1622547359384076288;"A la vue de photos aperçues dans des #medias je m’étais dit, l’empire..du pire,ce s’ra sans moi
J’ai écouté 30 secondes
#Quotidien @Qofficiel et j’ai zappé
Ce #pognondedingue..
#AsterixEtObelixLEmpireDuMilieu #Cinema 
Merci @Bruno_Constant ⬇️
Hugues Dayez
https://t.co/dOvzxtIUr0"
304;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 10:43:27+00:00;[1622546509316096001];1622546509316096001;@CarrefourFrance @Leondu78 je tente ma chance #AsterixEtObelixLEmpireDuMilieu
305;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 10:34:42+00:00;[1622544306329247744];1622544306329247744;@CarrefourFrance Je participe avec plaisir #AsterixEtObelixLEmpireDuMilieu
306;;2023-02-06 10:30:47+00:00;[1622543318398689280];1622543318398689280;"Toujours l'un des meilleurs Astérix (avec Les 12 travaux)
https://t.co/EaNU0wgKck #AsterixEtObelixLEmpireDuMilieu #AsterixEtObelix https://t.co/KxRpO6qqv3"
307;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 10:25:59+00:00;[1622542113614217216];1622542113614217216;@CarrefourFrance merçi pour ce concours par Toutatis #AsterixEtObelixLEmpireDuMilieu
308;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 10:22:12+00:00;[1622541161234661376];1622541161234661376;"@CarrefourFrance Un concours sympathique #AsterixEtObelixLEmpireDuMilieu.
Bonne chance à toutes et à tous."
309;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 10:18:54+00:00;[1622540328132640768];1622540328132640768;"@CarrefourFrance Bonjour je participe avec plaisir.
#AsterixEtObelixLEmpireDuMilieu 
Merci 😍❤️☘️"
310;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 10:18:08+00:00;[1622540137916760065];1622540137916760065;@CarrefourFrance Bonsoir, je participe avec plaisir 🙂☘🍀🐞 #AsterixEtObelixLEmpireDuMilieu
311;;2023-02-06 10:15:40+00:00;[1622539516241231874];1622539516241231874;"@michel_sympa Remplace #AsterixEtObelixLEmpireDuMilieu par
@michel_sympa ça marche aussi 🤷🏼😎"
312;;2023-02-06 09:50:09+00:00;[1622533094421970944];1622533094421970944;"Merci à ts les haters qui ont démoli le film #AsterixEtObelixLEmpireDuMilieu de #Canet !!!
Je suis allé le voir en redoutant un navet &amp; finalement c'est loin d'être 1 catastrophe, une comédie certes franchouillarde &amp; tarte à la crème mais bien menée avec des acteurs convaincants."
313;;2023-02-06 09:32:34+00:00;[1622528667195686912];1622528667195686912;"Ici on ne va pas tirer sur l'ambulance... Apparemment celle ci n'a même pas de chauffeur. Direction: le mur !💥

#AsterixEtObelixLEmpireDuMilieu #AsterixEtObelix https://t.co/H9IVwsANci"
